original_title,combined_features,title
Flashpoint (1984),action adventure crime mystery thriller year1984,flashpoint
"Haunted World of El Superbeasto, The (2009)",action animation comedy horror thriller year2009,thehauntedworldofelsuperbeasto
"Princess Bride, The (1987)",action adventure comedy fantasy romance year1987,theprincessbride
Journey to the Center of the Earth (1999),action adventure children fantasy scifi year1999,journeytothecenteroftheearth
"Honey, I Shrunk the Kids (1989)",adventure children comedy fantasy scifi year1989,honeyishrunkthekids
Backfire (1950),crime filmnoir mystery romance thriller year1950,backfire
Puss in Boots (2011),adventure animation comedy fantasy imax year2011,pussinboots
Justin Time (2010),action adventure children fantasy scifi year2010,justintime
Silver Bullet (Stephen King's Silver Bullet) (1985),adventure drama horror mystery thriller year1985,silverbulletstephenkingssilverbullet
How It Ends (2018),action adventure mystery scifi thriller year2018,howitends
The Sky Dragon (1949),adventure comedy crime mystery thriller year1949,theskydragon
Heavy Metal (1981),action adventure animation horror scifi year1981,heavymetal
Halloweentown II: Kalabar's Revenge (2001),adventure children comedy drama fantasy year2001,halloweentowniikalabarsrevenge
For a Few Bullets (2016),action adventure comedy mystery romance year2016,forafewbullets
Bachelor Games (2016),action adventure comedy horror thriller year2016,bachelorgames
A Knight in Camelot (1998),adventure children comedy fantasy scifi year1998,aknightincamelot
The Wild Stallion (2009),action adventure children drama western year2009,thewildstallion
Bal-Can-Can (2005),action adventure comedy crime drama war year2005,balcancan
King Solomon's Mines (1937),action adventure drama romance thriller year1937,kingsolomonsmines
Singapore (1947),action adventure crime filmnoir romance year1947,singapore
Fallen: The Beginning (2006),action adventure children drama fantasy year2006,fallenthebeginning
Nausicaä of the Valley of the Wind (Kaze no tani no Naushika) (1984),adventure animation drama fantasy scifi year1984,nausicaofthevalleyofthewindkazenotaninonaushika
Something Wicked This Way Comes (1983),children drama fantasy mystery thriller year1983,somethingwickedthiswaycomes
National Treasure (2004),action adventure drama mystery thriller year2004,nationaltreasure
"Librarian: Quest for the Spear, The (2004)",action adventure comedy fantasy romance year2004,thelibrarianquestforthespear
Snow White and the Three Stooges (1961),adventure children comedy drama fantasy year1961,snowwhiteandthethreestooges
"Losers, The (2010)",action adventure drama mystery thriller year2010,thelosers
Sky Murder (1940),action adventure crime mystery thriller year1940,skymurder
"Disappearance of Haruhi Suzumiya, The (Suzumiya Haruhi no shôshitsu) (2010)",adventure animation drama mystery scifi year2010,disappearanceofharuhisuzumiyathesuzumiyaharuhinoshshitsu
Treasure Planet (2002),adventure animation children scifi imax year2002,treasureplanet
The Devil's Mask (1946),action adventure crime mystery thriller year1946,thedevilsmask
The Amazing Screw-On Head (2006),action adventure animation comedy scifi year2006,theamazingscrewonhead
Jetsons: The Movie (1990),animation children comedy musical scifi year1990,jetsonsthemovie
Savage Sam (1963),action adventure children drama western year1963,savagesam
I Wake Up Screaming (1941),crime filmnoir mystery romance thriller year1941,iwakeupscreaming
Broken Down Film (1985),action animation comedy romance western year1985,brokendownfilm
Hellboy Animated: Sword of Storms (2006),action animation fantasy scifi thriller year2006,hellboyanimatedswordofstorms
3:10 to Yuma (1957),action adventure drama thriller western year1957,31toyuma
Tomorrowland (2015),action adventure children mystery scifi year2015,tomorrowland
Prey (2010),adventure drama horror mystery thriller year2010,prey
The Count of Monte Cristo (1934),action adventure drama romance thriller year1934,thecountofmontecristo
All Dogs Go to Heaven (1989),animation children comedy drama fantasy year1989,alldogsgotoheaven
"Outlaw Josey Wales, The (1976)",action adventure drama thriller western year1976,theoutlawjoseywales
Doctor Strange (2007),action animation children fantasy scifi year2007,doctorstrange
Patema Inverted (2013),adventure animation drama fantasy scifi year2013,patemainverted
The Ghost of Lord Farquaad (2003),animation children comedy fantasy scifi year2003,theghostoflordfarquaad
The Giant King (2012),animation children comedy fantasy scifi year2012,thegiantking
Meet Dave (2008),adventure children comedy romance scifi year2008,meetdave
Turistas (2006),adventure drama horror mystery thriller year2006,turistas
Lost Horizon (1973),adventure drama fantasy musical romance year1973,losthorizon
Megiddo: The Omega Code 2 (2001),action adventure fantasy scifi thriller year2001,megiddotheomegacode2
"Golden Child, The (1986)",action adventure comedy fantasy mystery year1986,thegoldenchild
Second Nature (2003),action drama mystery scifi thriller war year2003,secondnature
Feast (2014),animation children comedy drama romance year2014,feast
Prairie Dog (2015),adventure drama fantasy horror thriller year2015,prairiedog
Mighty Joe Young (1998),action adventure drama fantasy thriller year1998,mightyjoeyoung
Eden of the East the Movie II: Paradise Lost (Higashi no Eden Gekijôban II: Paradise Lost) (2010),animation crime mystery scifi thriller year2010,edenoftheeastthemovieiiparadiselosthigashinoedengekijbaniiparadiselost
"Hunting Party, The (2007)",action adventure comedy drama thriller year2007,thehuntingparty
Charlie and the Chocolate Factory (2005),adventure children comedy fantasy imax year2005,charlieandthechocolatefactory
Who Am I? (Wo shi shei) (1998),action adventure comedy scifi thriller year1998,whoamiwoshishei
Tai Chi Hero (2012),action comedy drama fantasy scifi imax year2012,taichihero
Centennial (1978),action adventure drama romance western year1978,centennial
"Diamond Arm, The (Brilliantovaya ruka) (1968)",action adventure comedy crime thriller year1968,diamondarmthebrilliantovayaruka
"Scanner Darkly, A (2006)",animation drama mystery scifi thriller year2006,ascannerdarkly
Thou Shalt Not Kill... Except (1985),action adventure crime horror thriller year1985,thoushaltnotkillexcept
Adventures of Captain Marvel (1941),action adventure fantasy mystery scifi year1941,adventuresofcaptainmarvel
Shark Zone (2003),action adventure drama horror thriller year2003,sharkzone
Death Racers (2008),action adventure comedy scifi thriller year2008,deathracers
Monster Trucks (2016),action animation children comedy scifi year2016,monstertrucks
North West Mounted Police (1940),action adventure drama romance western year1940,northwestmountedpolice
After the Sunset (2004),action adventure comedy crime thriller year2004,afterthesunset
Phantom of the Paradise (1974),comedy fantasy horror musical thriller year1974,phantomoftheparadise
Lady Terminator (Pembalasan ratu pantai selatan) (1989),action adventure horror scifi thriller year1989,ladyterminatorpembalasanratupantaiselatan
Straight from the Heart (2003),action adventure drama romance western year2003,straightfromtheheart
"Man from Utah, The (1934)",action adventure crime romance western year1934,themanfromutah
Death Note: R2 - L o Tsugu Mono (2008),animation crime drama fantasy thriller year2008,deathnoter2lotsugumono
Shark Hunter (2001),action adventure horror scifi thriller year2001,sharkhunter
Superman II: The Richard Donner Cut (2006),action adventure fantasy romance scifi year2006,supermaniithericharddonnercut
The Spy in the Green Hat (1967),action adventure comedy crime thriller year1967,thespyinthegreenhat
The Karate Dog (2004),action adventure children comedy crime year2004,thekaratedog
Soldier of Fortune (1955),adventure crime drama romance thriller year1955,soldieroffortune
Harry Potter and the Half-Blood Prince (2009),adventure fantasy mystery romance imax year2009,harrypotterandthehalfbloodprince
Rogue (2007),action adventure horror scifi thriller year2007,rogue
Ator the Iron Warrior (1987),action adventure drama fantasy romance year1987,atortheironwarrior
Dragonfly (2002),drama fantasy mystery romance thriller year2002,dragonfly
Love Story 2050 (2008),adventure comedy musical romance scifi year2008,lovestory25
"Prodigy, The (2005)",action children drama mystery thriller year2005,theprodigy
"Vampires, Les (1915)",action adventure drama horror thriller year1915,vampiresles
Singapore Sling (Singapore sling: O anthropos pou agapise ena ptoma) (1990),crime filmnoir horror romance thriller year1990,singaporeslingsingaporeslingoanthropospouagapiseenaptoma
The Challenge (2003),action adventure children comedy scifi year2003,thechallenge
Rogues' Regiment (1948),action adventure filmnoir thriller war year1948,roguesregiment
Death Proof (2007),action adventure crime horror thriller year2007,deathproof
Sin City (2005),action crime filmnoir mystery thriller year2005,sincity
"Honey, We Shrunk Ourselves (1997)",action adventure children comedy scifi year1997,honeyweshrunkourselves
End of Days (1999),action fantasy horror mystery thriller year1999,endofdays
Maze (2017),adventure crime drama mystery thriller year2017,maze
Army of Darkness (1993),action adventure comedy fantasy horror year1993,armyofdarkness
Jett Jackson: The Movie (2001),action adventure children comedy scifi year2001,jettjacksonthemovie
Click (2006),adventure comedy drama fantasy romance year2006,click
Machete (2010),action adventure comedy crime thriller year2010,machete
Sabretooth (2002),action adventure horror scifi thriller year2002,sabretooth
Balance (1989),animation drama mystery scifi thriller year1989,balance
Killer by Nature (2010),adventure crime drama romance thriller year2010,killerbynature
The Karate Killers (1967),action adventure comedy crime thriller year1967,thekaratekillers
Donkey Skin (Peau d'âne) (1970),children drama fantasy musical romance year1970,donkeyskinpeaudne
InAlienable (2008),action adventure comedy scifi thriller year2008,inalienable
Unstoppable (2004),action adventure comedy drama thriller year2004,unstoppable
Fat Pizza (2003),action adventure comedy crime thriller year2003,fatpizza
Spy Kids: All the Time in the World in 4D (2011),action adventure children comedy scifi year2011,spykidsallthetimeintheworldin4d
Charlie's Angels: Full Throttle (2003),action adventure comedy crime thriller year2003,charliesangelsfullthrottle
"Call of the Wild, The (1935)",action adventure drama romance western year1935,thecallofthewild
Bail Out (1990),action adventure comedy drama thriller year1990,bailout
Between Two Worlds (1944),action adventure drama fantasy mystery year1944,betweentwoworlds
Space Pirate Captain Harlock: Arcadia of My Youth (Waga seishun no Arcadia) (1982),action adventure animation drama scifi year1982,spacepiratecaptainharlockarcadiaofmyyouthwagaseishunnoarcadia
"Tall Men, The (1955)",action adventure drama romance western year1955,thetallmen
Dark Rising (2007),action adventure comedy fantasy horror year2007,darkrising
Pali Road (2016),drama fantasy mystery romance thriller year2016,paliroad
Catch That Kid (2004),action adventure children comedy crime year2004,catchthatkid
"Treasure Hunter, The (Ci ling) (2009)",action adventure fantasy romance scifi year2009,treasurehuntertheciling
Arsène Lupin (2004),action adventure crime mystery romance year2004,arsnelupin
The Ten Lives of Titanics the Cat (2007),action children drama mystery thriller year2007,thetenlivesoftitanicsthecat
